GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test1,com.hxm.demo.test1.persistence.mybatis.Service,UserService,20,0,0,0,4,0,2,0,2,0
test1,com.hxm.demo.test1.thread.newthread.runnable,App,26,0,2,0,6,0,3,0,2,0
test1,com.hxm.demo.test1.thread.newthread.runnable,ThreadTask,43,0,2,0,11,0,3,0,2,0
test1,com.hxm.demo.test1.context,ContextUtil,10,0,0,0,4,0,3,0,3,0
test1,com.hxm.demo.test1.context,App1,15,0,0,0,5,0,2,0,2,0
test1,com.hxm.demo.test1.context,InitBean,35,0,0,0,8,0,4,0,4,0
test1,com.hxm.demo.test1.log,Enum1,66,0,0,0,8,0,6,0,6,0
test1,com.hxm.demo.test1.log,App,105,0,4,0,18,0,5,0,3,0
test1,com.hxm.demo.test1.persistence.mybatis.object,UserDo,24,0,0,0,10,0,7,0,7,0
test1,com.hxm.demo.test1.unittest.junit,App,30,0,0,0,6,0,2,0,2,0
test1,com.hxm.demo.test1.unittest.junit,FunctionAImpl,0,7,0,0,0,2,0,2,0,2
test1,com.hxm.demo.test1.unittest.junit,FunctionCal,2,16,1,1,1,4,1,2,0,2
test1,com.hxm.demo.test1.aop.cglibproxy,App,27,0,0,0,8,0,2,0,2,0
test1,com.hxm.demo.test1.aop.cglibproxy,UserDao,7,0,0,0,3,0,2,0,2,0
test1,com.hxm.demo.test1.aop.cglibproxy,ProxyFactory,35,0,0,0,11,0,3,0,3,0
test1,com.hxm.demo.test1.aop.javaagent,MyAgent,9,0,0,0,3,0,2,0,2,0
test1,com.hxm.demo.test1.aop.javaagent,MyClassFileTransformer,115,0,10,0,36,0,9,0,4,0
test1,com.hxm.demo.test1.thread.newthread.callable,App,37,0,0,0,11,0,2,0,2,0
test1,com.hxm.demo.test1.thread.newthread.callable,ThreadTask,37,0,2,0,6,0,3,0,2,0
test1,com.hxm.demo.test1.jvm.oome,RuntimeConstantPoolOOM,38,0,4,0,6,0,4,0,2,0
test1,com.hxm.demo.test1.persistence.mybatis,AppSpring,17,0,0,0,5,0,2,0,2,0
test1,com.hxm.demo.test1.persistence.mybatis,App,40,0,0,0,11,0,2,0,2,0
test1,com.hxm.demo.test1.aop.jdkdynamicproxy,ProxyFactory,20,0,0,0,4,0,2,0,2,0
test1,com.hxm.demo.test1.aop.jdkdynamicproxy,App,25,0,0,0,7,0,2,0,2,0
test1,com.hxm.demo.test1.aop.jdkdynamicproxy,ProxyFactory.new InvocationHandler() {...},21,0,0,0,5,0,2,0,2,0
test1,com.hxm.demo.test1.aop.staticproxy,App,15,0,0,0,5,0,2,0,2,0
test1,com.hxm.demo.test1.aop.staticproxy,UserDaoImp,7,0,0,0,3,0,2,0,2,0
test1,com.hxm.demo.test1.aop.staticproxy,UserDaoProxy,16,0,0,0,7,0,2,0,2,0
test1,com.hxm.demo.test1.aop,Business,10,0,0,0,4,0,3,0,3,0
test1,com.hxm.demo.test1.aop,AppAgent,3,0,0,0,1,0,1,0,1,0
test1,com.hxm.demo.test1.context.properties,App,43,0,0,0,8,0,3,0,3,0
test1,com.hxm.demo.test1.aop.aspectj.annotation,MyAspect,28,0,0,0,9,0,3,0,3,0
test1,com.hxm.demo.test1.aop.aspectj.annotation,App,16,0,0,0,5,0,2,0,2,0
test1,com.hxm.demo.test1.aop.aspectj.xml,MyAspect,14,0,0,0,5,0,2,0,2,0
test1,com.hxm.demo.test1.aop.aspectj.xml,App,16,0,0,0,5,0,2,0,2,0
